iter	Passed	Remaining
200	7976	31708
201	8016	31667
202	8054	31624
203	8094	31582
204	8133	31541
205	8171	31494
206	8209	31451
207	8248	31408
208	8287	31364
209	8325	31320
210	8367	31288
211	8406	31247
212	8446	31207
213	8484	31164
214	8524	31122
215	8562	31077
216	8601	31035
217	8639	30991
218	8677	30947
219	8717	30905
220	8754	30859
221	8794	30821
222	8833	30779
223	8872	30737
224	8911	30696
225	8951	30655
226	8990	30616
227	9029	30574
228	9066	30525
229	9105	30483
230	9145	30444
231	9183	30400
232	9221	30356
233	9260	30314
234	9299	30273
235	9340	30238
236	9380	30199
237	9418	30154
238	9457	30113
239	9497	30074
240	9539	30042
241	9578	30001
242	9617	29960
243	9658	29924
244	9696	29881
245	9736	29843
246	9778	29811
247	9818	29771
248	9858	29735
249	9902	29708
250	9943	29672
251	9982	29631
252	10021	29589
253	10062	29553
254	10102	29513
255	10139	29469
256	10176	29420
257	10215	29378
258	10253	29336
259	10294	29300
260	10333	29258
261	10374	29223
262	10413	29181
263	10453	29143
264	10491	29100
265	10533	29064
266	10571	29023
267	10610	28980
268	10648	28935
269	10687	28895
270	10726	28854
271	10767	28819
272	10807	28779
273	10845	28737
274	10884	28694
275	10925	28658
276	10963	28615
277	11002	28574
278	11041	28534
279	11081	28494
280	11121	28457
281	11160	28415
282	11198	28372
283	11238	28334
284	11276	28291
285	11315	28250
286	11356	28214
287	11395	28172
288	11434	28131
289	11473	28090
290	11513	28051
291	11552	28011
292	11590	27967
293	11629	27926
294	11668	27885
295	11707	27844
296	11747	27805
297	11785	27762
298	11825	27724
299	11863	27682
300	11903	27643
301	11944	27607
302	11983	27566
303	12023	27527
304	12061	27484
305	12100	27443
306	12138	27399
307	12179	27364
308	12217	27321
309	12258	27284
310	12299	27249
311	12342	27217
312	12382	27178
313	12423	27141
314	12464	27104
315	12503	27065
316	12541	27022
317	12580	26979
318	12619	26939
319	12657	26898
320	12696	26855
321	12734	26813
322	12773	26772
323	12811	26730
324	12852	26693
325	12893	26656
326	12932	26617
327	12972	26576
328	13011	26537
329	13051	26499
330	13091	26460
331	13131	26421
332	13170	26381
333	13209	26339
334	13231	26265
335	13270	26224
336	13308	26182
337	13350	26148
338	13388	26106
339	13428	26066
340	13465	26022
341	13504	25983
342	13542	25940
343	13582	25900
344	13619	25858
345	13658	25816
346	13696	25773
347	13735	25733
348	13775	25696
349	13813	25653
350	13852	25613
351	13891	25572
352	13932	25535
353	13971	25496
354	14010	25455
355	14050	25416
356	14088	25375
357	14127	25334
358	14166	25294
359	14204	25251
360	14244	25213
361	14284	25175
362	14326	25139
363	14365	25100
364	14404	25060
365	14443	25020
366	14482	24979
367	14521	24939
368	14560	24899
369	14599	24858
370	14637	24817
371	14678	24779
372	14716	24738
373	14758	24703
374	14797	24663
375	14838	24625
376	14876	24583
377	14917	24546
378	14956	24507
379	14996	24468
380	15035	24428
381	15073	24386
382	15114	24348
383	15151	24304
384	15190	24264
385	15229	24224
386	15268	24184
387	15308	24146
388	15352	24114
389	15390	24072
390	15429	24032
391	15468	23992
392	15508	23952
393	15548	23914
394	15587	23874
395	15603	23799
396	15644	23761
397	15682	23720
398	15721	23681
399	15761	23642
400	15801	23603
401	15839	23561
402	15878	23522
403	15919	23484
404	15958	23445
405	15997	23405
406	16027	23352
407	16066	23311
408	16104	23270
409	16143	23230
410	16181	23189
411	16220	23149
412	16258	23108
413	16297	23069
414	16336	23028
415	16377	22991
416	16416	22951
417	16455	22911
418	16494	22871
419	16534	22833
420	16577	22798
421	16616	22759
422	16654	22717
423	16692	22676
424	16730	22634
425	16768	22594
426	16808	22555
427	16846	22515
428	16886	22475
429	16926	22437
430	16965	22398
431	17004	22358
432	17042	22316
433	17082	22277
434	17101	22211
435	17131	22161
436	17171	22122
437	17210	22082
438	17249	22043
439	17288	22003
440	17307	21938
441	17349	21902
442	17387	21861
443	17425	21821
444	17465	21782
445	17504	21743
446	17543	21703
447	17582	21664
448	17622	21625
449	17659	21584
450	17698	21544
451	17737	21504
452	17778	21467
453	17817	21427
454	17855	21387
455	17893	21346
456	17934	21309
457	17973	21270
458	18013	21231
459	18053	21193
460	18092	21153
461	18131	21114
462	18172	21076
463	18212	21038
464	18253	21001
465	18292	20961
466	18334	20926
467	18375	20887
468	18413	20847
469	18451	20807
470	18490	20767
471	18529	20728
472	18567	20687
473	18606	20648
474	18645	20608
475	18685	20569
476	18723	20529
477	18764	20492
478	18802	20451
479	18842	20412
480	18880	20372
481	18920	20333
482	18958	20293
483	18997	20253
484	19036	20213
485	19076	20175
486	19115	20136
487	19154	20096
488	19193	20056
489	19232	20017
490	19271	19978
491	19312	19940
492	19354	19904
493	19395	19866
494	19435	19827
495	19475	19789
496	19514	19749
497	19557	19714
498	19618	19696
499	19683	19683
500	19749	19671
501	19824	19666
502	19864	19628
503	19903	19587
504	19931	19536
505	19980	19506
506	20020	19467
507	20060	19428
508	20100	19389
509	20140	19350
510	20179	19311
511	20217	19270
512	20258	19231
513	20299	19193
514	20340	19155
515	20372	19108
516	20414	19071
517	20453	19032
518	20492	18992
519	20530	18951
520	20569	18911
521	20608	18871
522	20648	18832
523	20688	18793
524	20727	18753
525	20778	18724
526	20850	18713
527	20906	18688
528	20966	18667
529	21030	18650
530	21071	18611
531	21110	18570
532	21151	18532
533	21197	18498
534	21263	18481
535	21342	18475
536	21412	18461
537	21471	18438
538	21511	18398
539	21549	18357
540	21588	18316
541	21628	18276
542	21667	18235
543	21706	18195
544	21746	18155
545	21786	18115
546	21824	18074
547	21862	18032
548	21903	17993
549	21943	17953
550	21984	17914
551	22024	17874
552	22061	17832
553	22099	17791
554	22139	17751
555	22177	17710
556	22218	17670
557	22256	17630
558	22298	17591
559	22342	17554
560	22382	17515
561	22423	17476
562	22466	17438
563	22512	17403
564	22557	17367
565	22599	17328
566	22641	17290
567	22683	17252
568	22724	17212
569	22763	17172
570	22803	17132
571	22843	17092
572	22883	17052
573	22921	17011
574	22962	16972
575	23001	16931
576	23040	16891
577	23079	16850
578	23119	16810
579	23150	16764
580	23190	16724
581	23229	16683
582	23269	16643
583	23306	16601
584	23348	16563
585	23388	16523
586	23428	16483
587	23468	16443
588	23507	16403
589	23546	16362
590	23585	16322
591	23625	16282
592	23664	16241
593	23704	16201
594	23748	16165
595	23788	16124
596	23828	16084
597	23867	16044
598	23906	16003
599	23947	15964
600	23985	15923
601	24025	15883
602	24064	15843
603	24102	15802
604	24141	15761
605	24180	15721
606	24220	15681
607	24258	15640
608	24296	15599
609	24338	15560
610	24378	15520
611	24416	15479
612	24456	15440
613	24495	15399
614	24536	15360
615	24575	15319
616	24615	15279
617	24653	15239
618	24696	15200
619	24736	15161
620	24778	15122
621	24818	15082
622	24859	15043
623	24899	15003
624	24939	14963
625	24981	14925
626	25020	14884
627	25059	14843
628	25097	14803
629	25136	14762
630	25176	14722
631	25215	14682
632	25255	14642
633	25296	14603
634	25339	14565
635	25379	14525
636	25419	14485
637	25457	14444
638	25498	14405
639	25537	14364
640	25577	14324
641	25616	14284
642	25655	14244
643	25694	14203
644	25732	14162
645	25773	14123
646	25812	14083
647	25851	14042
648	25890	14002
649	25930	13962
650	25969	13922
651	26007	13881
652	26048	13841
653	26088	13801
654	26127	13761
655	26167	13721
656	26206	13681
657	26246	13641
658	26286	13601
659	26326	13562
660	26368	13523
661	26407	13483
662	26446	13442
663	26486	13402
664	26527	13363
665	26567	13323
666	26606	13283
667	26645	13242
668	26683	13202
669	26722	13161
670	26762	13121
671	26800	13081
672	26839	13040
673	26878	13000
674	26918	12960
675	26960	12921
676	27000	12881
677	27039	12841
678	27079	12802
679	27119	12762
680	27159	12722
681	27199	12682
682	27239	12642
683	27276	12601
684	27316	12561
685	27358	12522
686	27398	12483
687	27437	12442
688	27475	12401
689	27517	12362
690	27556	12322
691	27594	12281
692	27636	12243
693	27675	12202
694	27716	12163
695	27755	12123
696	27795	12083
697	27834	12043
698	27875	12003
699	27915	11963
700	27956	11924
701	27998	11885
702	28036	11844
703	28077	11805
704	28115	11764
705	28155	11724
706	28195	11685
707	28236	11645
708	28275	11605
709	28314	11565
710	28356	11525
711	28395	11485
712	28434	11445
713	28473	11405
714	28512	11364
715	28549	11324
716	28589	11284
717	28628	11244
718	28667	11203
719	28708	11164
720	28747	11124
721	28788	11084
722	28827	11044
723	28866	11004
724	28907	10964
725	28948	10925
726	28991	10886
727	29032	10847
728	29072	10807
729	29110	10766
730	29147	10726
731	29187	10685
732	29228	10646
733	29267	10606
734	29304	10565
735	29347	10526
736	29385	10486
737	29423	10445
738	29463	10405
739	29503	10366
740	29541	10325
741	29581	10285
742	29620	10245
743	29661	10206
744	29702	10166
745	29742	10126
746	29784	10087
747	29823	10047
748	29862	10007
749	29902	9967
750	29940	9926
751	29981	9887
752	30021	9847
753	30063	9808
754	30103	9768
755	30142	9728
756	30181	9688
757	30221	9648
758	30261	9608
759	30301	9568
760	30343	9529
761	30384	9490
762	30423	9450
763	30463	9410
764	30500	9369
765	30539	9329
766	30579	9289
767	30618	9249
768	30656	9209
769	30697	9169
770	30740	9130
771	30781	9090
772	30822	9051
773	30864	9012
774	30905	8972
775	30944	8932
776	30990	8894
777	31032	8855
778	31073	8815
779	31115	8776
780	31158	8737
781	31201	8698
782	31243	8658
783	31283	8619
784	31325	8579
785	31370	8541
786	31416	8502
787	31459	8463
788	31505	8425
789	31545	8385
790	31584	8345
791	31624	8305
792	31674	8268
793	31720	8229
794	31767	8191
795	31821	8155
796	31863	8115
797	31910	8077
798	31956	8039
799	31998	7999
800	32043	7960
801	32085	7921
802	32144	7885
803	32196	7848
804	32251	7812
805	32307	7776
806	32357	7738
807	32411	7701
808	32466	7665
809	32615	7650
810	32718	7624
811	32796	7593
812	32855	7557
813	32928	7524
814	32993	7489
815	33041	7450
816	33088	7411
817	33130	7371
818	33174	7331
819	33217	7291
820	33257	7251
821	33307	7212
822	33442	7192
823	33527	7161
824	33578	7122
825	33622	7082
826	33698	7049
827	33756	7012
828	33805	6973
829	33849	6933
830	33896	6893
831	33940	6853
832	33982	6812
833	34028	6773
834	34070	6732
835	34112	6691
836	34154	6651
837	34196	6610
838	34237	6569
839	34279	6529
840	34318	6488
841	34364	6448
842	34406	6407
843	34445	6366
844	34485	6325
845	34527	6285
846	34565	6243
847	34606	6203
848	34645	6161
849	34685	6121
850	34726	6080
851	34765	6039
852	34805	5998
853	34845	5957
854	34884	5916
855	34924	5875
856	34963	5833
857	35003	5793
858	35044	5752
859	35084	5711
860	35132	5671
861	35203	5635
862	35273	5599
863	35340	5562
864	35393	5523
865	35432	5482
866	35472	5441
867	35512	5400
868	35552	5359
869	35590	5318
870	35629	5276
871	35667	5235
872	35706	5194
873	35747	5153
874	35785	5112
875	35823	5070
876	35862	5029
877	35906	4989
878	35969	4951
879	36045	4915
880	36114	4878
881	36175	4839
882	36218	4799
883	36258	4757
884	36297	4716
885	36340	4675
886	36380	4634
887	36420	4593
888	36460	4552
889	36499	4511
890	36539	4470
891	36579	4428
892	36620	4387
893	36659	4346
894	36699	4305
895	36738	4264
896	36780	4223
897	36820	4182
898	36859	4141
899	36898	4099
900	36936	4058
901	36974	4017
902	37016	3976
903	37056	3935
904	37095	3893
905	37135	3852
906	37174	3811
907	37216	3770
908	37257	3729
909	37301	3689
910	37343	3648
911	37396	3608
912	37468	3570
913	37531	3531
914	37579	3490
915	37627	3450
916	37668	3409
917	37706	3368
918	37746	3326
919	37785	3285
920	37824	3244
921	37863	3203
922	37902	3161
923	37941	3120
924	38016	3082
925	38099	3044
926	38168	3005
927	38243	2967
928	38287	2926
929	38328	2884
930	38372	2843
931	38409	2802
932	38462	2762
933	38534	2722
934	38600	2683
935	38667	2643
936	38714	2603
937	38753	2561
938	38794	2520
939	38859	2480
940	38925	2440
941	38996	2401
942	39056	2360
943	39100	2319
944	39140	2278
945	39179	2236
946	39217	2194
947	39259	2153
948	39299	2111
949	39341	2070
950	39384	2029
951	39425	1987
952	39466	1946
953	39510	1905
954	39553	1863
955	39594	1822
956	39636	1780
957	39675	1739
958	39714	1697
959	39756	1656
960	39796	1615
961	39836	1573
962	39875	1532
963	39916	1490
964	39953	1449
965	39992	1407
966	40034	1366
967	40075	1324
968	40114	1283
969	40152	1241
970	40192	1200
971	40231	1158
972	40270	1117
973	40310	1076
974	40352	1034
975	40392	993
976	40432	951
977	40471	910
978	40510	868
979	40550	827
980	40590	786
981	40628	744
982	40667	703
983	40705	661
984	40743	620
985	40783	579
986	40822	537
987	40861	496
988	40901	454
989	40942	413
990	40984	372
991	41024	330
992	41066	289
993	41108	248
994	41147	206
995	41187	165
996	41227	124
997	41266	82
998	41304	41
999	41345	0
