iter	RMSE
0	1.11470123
1	1.103602104
2	1.093650185
3	1.084472395
4	1.076045531
5	1.068369455
6	1.061421934
7	1.054924685
8	1.049082854
9	1.04367083
10	1.038718471
11	1.034277508
12	1.030223892
13	1.026487825
14	1.023005104
15	1.019915388
16	1.017069799
17	1.014538816
18	1.012189645
19	1.009976792
20	1.007950057
21	1.006167275
22	1.004522952
23	1.003008577
24	1.001612383
25	1.000352338
26	0.9992923077
27	0.9982238285
28	0.9972773732
29	0.9963882421
30	0.9955581129
31	0.9948070593
32	0.9941132141
33	0.993482295
34	0.9929110382
35	0.992382245
36	0.9919026102
37	0.9914457681
38	0.9910154425
39	0.9906011837
40	0.9902390051
41	0.9898937153
42	0.9895866851
43	0.989283504
44	0.9890035094
45	0.9887444105
46	0.9885077461
47	0.9882969898
48	0.9880999498
49	0.9879170882
50	0.9877299182
51	0.9875580146
52	0.9873941151
53	0.9872454071
54	0.9870756174
55	0.9869316447
56	0.9867828202
57	0.9866760312
58	0.9865561627
59	0.9864630749
60	0.9863654513
61	0.9862471603
62	0.9861583975
63	0.9860757254
64	0.9859814228
65	0.9858997204
66	0.9858062458
67	0.9857307059
68	0.9856436533
69	0.9855556525
70	0.9854823151
71	0.9854202536
72	0.9853515182
73	0.9852326786
74	0.9851798781
75	0.9850927315
76	0.985014383
77	0.9849496203
78	0.9848954675
79	0.9848495936
80	0.9847581168
81	0.9847108866
82	0.9846366273
83	0.9845819153
84	0.9845358185
85	0.984480959
86	0.9844397054
87	0.9843689865
88	0.9843229243
89	0.9842785348
90	0.9842325474
91	0.9841839528
92	0.984120491
93	0.9840808657
94	0.9840309469
95	0.9839780751
96	0.9839125145
97	0.9838807196
98	0.9838308471
99	0.9837822559
100	0.9837352812
101	0.9836858334
102	0.9835970775
103	0.9835333231
104	0.9834944101
105	0.9834530877
106	0.9834129443
107	0.983349967
108	0.9833135701
109	0.9832550819
110	0.9831814207
111	0.9831277117
112	0.9830628055
113	0.9830211038
114	0.9829557141
115	0.9829312225
116	0.9829078226
117	0.9828735741
118	0.982833417
119	0.9827937399
120	0.9827575392
121	0.9827232772
122	0.9826760416
123	0.982630858
124	0.9826121342
125	0.9825756501
126	0.9825456775
127	0.9825251863
128	0.9824282519
129	0.9823892767
130	0.9823615631
131	0.9823321852
132	0.9822927996
133	0.9822684545
134	0.9822388951
135	0.9821652946
136	0.9821207857
137	0.9820884489
138	0.9820452519
139	0.9820063429
140	0.9819792251
141	0.9819575042
142	0.9819349747
143	0.9818895469
144	0.9818394603
145	0.981798155
146	0.9817505958
147	0.981721421
148	0.981685871
149	0.9816516298
150	0.981615625
151	0.9815784683
152	0.9814835339
153	0.9814448539
154	0.9813873775
155	0.981344655
156	0.981290602
157	0.9812429453
158	0.9812037265
159	0.9811663828
160	0.9811288267
161	0.9810959921
162	0.9810659313
163	0.9810345339
164	0.9809778925
165	0.9809278841
166	0.9808996645
167	0.9808634594
168	0.9808245172
169	0.9807808356
170	0.9807405657
171	0.9806902404
172	0.9806723587
173	0.9806349919
174	0.9806139221
175	0.9805841069
176	0.9805381757
177	0.9805181814
178	0.9804837139
179	0.9804670241
180	0.9804463183
181	0.9804191779
182	0.9804038713
183	0.980363804
184	0.9803168004
